antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'node_36'}),"frozenset({'node_62', 'node_35'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_34'}),"frozenset({'node_52', 'node_77'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_23'}),"frozenset({'node_97', 'node_57'})",0.01859504132231405,0.004132231404958678,0.0005165289256198347,0.027777777777777776,6.722222222222221,0.00043968991189126427,1.0243211334120426
frozenset({'node_20'}),"frozenset({'node_89', 'node_24'})",0.01859504132231405,0.004132231404958678,0.0005165289256198347,0.027777777777777776,6.722222222222221,0.00043968991189126427,1.0243211334120426
frozenset({'node_72'}),"frozenset({'node_52', 'node_77'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_34'}),"frozenset({'node_62', 'node_87'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_81'}),"frozenset({'node_71', 'node_77'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_36'}),"frozenset({'node_52', 'node_77'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_36'}),"frozenset({'node_62', 'node_52'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_34'}),"frozenset({'node_62', 'node_52'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_72'}),"frozenset({'node_62', 'node_71'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_23'}),"frozenset({'node_3', 'node_20'})",0.01859504132231405,0.004132231404958678,0.0005165289256198347,0.027777777777777776,6.722222222222221,0.00043968991189126427,1.0243211334120426
frozenset({'node_34'}),"frozenset({'node_46', 'node_62'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_81'}),"frozenset({'node_46', 'node_62'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_36'}),"frozenset({'node_77', 'node_35'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_81'}),"frozenset({'node_77', 'node_40'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_34'}),"frozenset({'node_46', 'node_77'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_34'}),"frozenset({'node_98', 'node_77'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_81'}),"frozenset({'node_52', 'node_77'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_81'}),"frozenset({'node_62', 'node_79'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_34'}),"frozenset({'node_77', 'node_87'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_72'}),"frozenset({'node_62', 'node_87'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_72'}),"frozenset({'node_77', 'node_40'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_34'}),"frozenset({'node_77', 'node_79'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_24'}),"frozenset({'node_20', 'node_97'})",0.01859504132231405,0.004132231404958678,0.0005165289256198347,0.027777777777777776,6.722222222222221,0.00043968991189126427,1.0243211334120426
frozenset({'node_72'}),"frozenset({'node_62', 'node_79'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_81'}),"frozenset({'node_62', 'node_87'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_81'}),"frozenset({'node_62', 'node_71'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_81'}),"frozenset({'node_62', 'node_40'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_34'}),"frozenset({'node_71', 'node_77'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_72'}),"frozenset({'node_62', 'node_98'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_34'}),"frozenset({'node_62', 'node_98'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_36'}),"frozenset({'node_98', 'node_77'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_57'}),"frozenset({'node_89', 'node_23'})",0.01859504132231405,0.004132231404958678,0.0005165289256198347,0.027777777777777776,6.722222222222221,0.00043968991189126427,1.0243211334120426
frozenset({'node_34'}),"frozenset({'node_62', 'node_1'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_51'}),"frozenset({'node_3', 'node_57'})",0.01859504132231405,0.004132231404958678,0.0005165289256198347,0.027777777777777776,6.722222222222221,0.00043968991189126427,1.0243211334120426
frozenset({'node_24'}),"frozenset({'node_3', 'node_57'})",0.01859504132231405,0.004132231404958678,0.0005165289256198347,0.027777777777777776,6.722222222222221,0.00043968991189126427,1.0243211334120426
frozenset({'node_81'}),"frozenset({'node_77', 'node_87'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_81'}),"frozenset({'node_77', 'node_79'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_36'}),"frozenset({'node_1', 'node_77'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_36'}),"frozenset({'node_62', 'node_1'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_57'}),"frozenset({'node_89', 'node_24'})",0.01859504132231405,0.004132231404958678,0.0005165289256198347,0.027777777777777776,6.722222222222221,0.00043968991189126427,1.0243211334120426
frozenset({'node_34'}),"frozenset({'node_1', 'node_77'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_72'}),"frozenset({'node_1', 'node_77'})",0.0371900826446281,0.002066115702479339,0.0005165289256198347,0.013888888888888888,6.722222222222221,0.00043968991189126427,1.0119892911186124
frozenset({'node_20'}),"frozenset({'node_61', 'node_23'})",0.01859504132231405,0.004132231404958678,0.0005165289256198347,0.027777777777777776,6.722222222222221,0.00043968991189126427,1.0243211334120426
frozenset({'node_24'}),"frozenset({'node_57', 'node_97'})",0.01859504132231405,0.004132231404958678,0.0005165289256198347,0.027777777777777776,6.722222222222221,0.00043968991189126427,1.0243211334120426
